Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Seconds,Milliseconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw),Measurement Type,,Average,Blank,,,
2104/5/32 (Monday) 30:27:49,999,255,9,LED Status,LED Intensity,6,32,32266,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,546,48,5,4,8,26,47,508,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:27:53,999,255,9,LED Status,LED Intensity,6,36,36254,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,112,545,48,5,3,8,25,47,507,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:27:57,999,255,9,LED Status,LED Intensity,6,40,40242,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,111,545,49,5,2,8,27,45,506,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:1,999,255,9,LED Status,LED Intensity,6,44,44231,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,543,48,7,3,8,27,46,505,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:5,999,255,9,LED Status,LED Intensity,6,48,48219,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,544,50,5,3,8,26,46,505,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:9,999,255,9,LED Status,LED Intensity,6,52,52207,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,545,48,5,3,8,25,45,505,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:13,999,255,9,LED Status,LED Intensity,6,56,56195,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,545,49,5,3,8,25,46,506,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:17,999,255,9,LED Status,LED Intensity,6,60,60181,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,110,546,49,5,3,8,25,46,509,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:21,999,255,9,LED Status,LED Intensity,6,64,64167,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,111,545,50,6,3,7,26,46,508,0,chlorophyll a,,,,,,
2104/5/32 (Monday) 30:28:30,999,255,9,LED Status,LED Intensity,6,73,73156,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,7,0,0,311,1214,turbidity,,,,,,
2104/5/32 (Monday) 30:28:34,999,255,9,LED Status,LED Intensity,6,77,77142,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,6,0,0,307,1214,turbidity,,,,,,
2104/5/32 (Monday) 30:28:38,999,255,9,LED Status,LED Intensity,6,81,81129,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,0,1,0,7,0,0,305,1208,turbidity,,,,,,
2104/5/32 (Monday) 30:28:42,999,255,9,LED Status,LED Intensity,6,85,85116,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,2,0,7,0,0,304,1204,turbidity,,,,,,
2104/5/32 (Monday) 30:28:46,999,255,9,LED Status,LED Intensity,6,89,89104,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,7,0,0,304,1204,turbidity,,,,,,
2104/5/32 (Monday) 30:28:49,999,255,9,LED Status,LED Intensity,6,93,93092,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,2,0,6,0,0,304,1206,turbidity,,,,,,
2104/5/32 (Monday) 30:28:53,999,255,9,LED Status,LED Intensity,6,97,97079,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,8,0,0,304,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:28:57,999,255,9,LED Status,LED Intensity,6,101,101066,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,1,1,0,6,0,0,303,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:29:1,999,255,9,LED Status,LED Intensity,6,105,105053,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,6,0,0,303,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:29:5,999,255,9,LED Status,LED Intensity,6,109,109040,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,0,0,6,0,0,302,1204,turbidity,,,,,,
2104/5/32 (Monday) 30:29:9,999,255,9,LED Status,LED Intensity,6,113,113027,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,1,0,0,5,0,0,303,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:29:13,999,255,9,LED Status,LED Intensity,6,117,117016,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,1,0,6,0,0,301,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:29:17,999,255,9,LED Status,LED Intensity,6,121,121004,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,0,1,0,6,0,0,304,1200,turbidity,,,,,,
2104/5/32 (Monday) 30:29:21,999,255,9,LED Status,LED Intensity,6,124,124994,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,0,0,1,0,7,0,0,302,1200,turbidity,,,,,,
2104/5/32 (Monday) 30:29:25,999,255,9,LED Status,LED Intensity,6,128,128982,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,1,1,1,0,6,0,0,302,1202,turbidity,,,,,,
2104/5/32 (Monday) 30:29:29,999,255,9,LED Status,LED Intensity,6,132,132969,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0.01,RAW VALUES,0,2,1,1,0,7,0,0,303,1200,turbidity,,,,,,
